Index	CID_stereo	InChIKey	SMILES
139	2789	CXOXHMZGEKVPMT-UHFFFAOYSA-N	CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
140	2794	WDQPAMHFFCXSNU-UHFFFAOYSA-N	CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl
141	2801	GDLIGKIOYRNHDA-UHFFFAOYSA-N	CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl
142	2802	DGBIGWXXNGSACT-UHFFFAOYSA-N	C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl
143	2803	GJSURZIOUXUGAL-UHFFFAOYSA-N	C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl
144	2809	XDDJGVMJFWAHJX-UHFFFAOYSA-N	C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O
145	2812	VNFPBHJOKIVQEB-UHFFFAOYSA-N	C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
146	2818	ZUXABONWMNSFBN-UHFFFAOYSA-N	CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl
147	2881	IMZMKUWMOSJXDT-UHFFFAOYSA-L	C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)[O-])O)C(=O)C=C(O2)C(=O)[O-]
148	2895	JURKNVYFZMSNLP-UHFFFAOYSA-N	CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31
149	2905	SKYSRIRYMSLOIN-UHFFFAOYSA-N	CN(C)CCOC(=O)C(C1=CC=CC=C1)C2(CCCC2)O
150	2907	CMSMOCZEIVJLDB-UHFFFAOYSA-N	C1CNP(=O)(OC1)N(CCCl)CCCl
151	2913	JJCFRYNCJDLXIK-UHFFFAOYSA-N	CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1
152	2955	MQJKPEGWNLWLTK-UHFFFAOYSA-N	C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
153	2972	TZXKOCQBRNJULO-UHFFFAOYSA-N	CC1=C(C(=O)C=CN1C)O
154	2973	UBQYURCVBFRUQT-UHFFFAOYSA-N	CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O
155	2995	HCYAFALTSJYZDH-UHFFFAOYSA-N	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31
156	3007	KWTSXDURSIMDCE-UHFFFAOYSA-N	CC(CC1=CC=CC=C1)N
157	3009	VLCYCQAOQCDTCN-UHFFFAOYSA-N	C(CC(C(F)F)(C(=O)O)N)CN
158	3016	AAOVKJBEBIDNHE-UHFFFAOYSA-N	CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
159	3019	GDLBFKVLRPITMI-UHFFFAOYSA-N	CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
160	3032	DCOPUUMXTXDBNB-UHFFFAOYSA-M	C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl
